"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.040913960E1,1.231296489E1,7.664485413E1,7.562725788E2,6.682023926E2,5.099999905E-1,1.289999962E1,4.722279439E-1,1.041124058E1,4.271584511E0,2.500000000E1
9.140479538E1,1.231297218E1,7.664485241E1,7.566975969E2,6.686274414E2,6.399999857E-1,1.310000038E1,4.728765670E-1,1.040383053E1,4.404823780E0,2.600000000E1
9.241424538E1,1.231297776E1,7.664485067E1,7.574978663E2,6.694277344E2,4.099999964E-1,1.389999962E1,4.734817171E-1,1.040895748E1,4.338735104E0,2.700000000E1
9.341405075E1,1.231298213E1,7.664484735E1,7.575112753E2,6.694411621E2,2.800000012E-1,1.360000038E1,4.739442308E-1,1.012408924E1,4.071155548E0,2.800000000E1
9.440749835E1,1.231298314E1,7.664484322E1,7.576444492E2,6.695743408E2,0.000000000E0,0.000000000E0,4.740641140E-1,1.033462524E1,4.173888683E0,2.900000000E1
9.541349095E1,1.231298412E1,7.664484276E1,7.580613151E2,6.699912109E2,0.000000000E0,0.000000000E0,4.744919571E-1,1.027931976E1,4.082284927E0,2.900000000E1
9.640877366E1,1.231298701E1,7.664484016E1,7.583305898E2,6.702604980E2,0.000000000E0,0.000000000E0,4.745577545E-1,1.025132751E1,4.036656380E0,3.000000000E1
9.741269194E1,1.231298759E1,7.664484028E1,7.587321987E2,6.706621094E2,0.000000000E0,0.000000000E0,4.746871991E-1,1.017159557E1,4.007215023E0,2.900000000E1
9.841500741E1,1.231298869E1,7.664483989E1,7.589345866E2,6.708645020E2,0.000000000E0,0.000000000E0,4.750298898E-1,9.989603996E0,3.911155701E0,2.900000000E1
9.941091413E1,1.231299069E1,7.664483749E1,7.592221756E2,6.711520996E2,0.000000000E0,0.000000000E0,4.755931125E-1,9.935046196E0,3.863905907E0,2.900000000E1
1.004089111E2,1.231299310E1,7.664483293E1,7.591164519E2,6.710463867E2,0.000000000E0,0.000000000E0,4.760536273E-1,9.935046196E0,3.752614498E0,2.900000000E1
1.014099888E2,1.231299337E1,7.664482870E1,7.591984814E2,6.711284180E2,0.000000000E0,0.000000000E0,4.762894978E-1,9.935046196E0,3.662127733E0,3.000000000E1
1.024157456E2,1.231299387E1,7.664482659E1,7.594155200E2,6.713454590E2,0.000000000E0,0.000000000E0,4.768544002E-1,9.935046196E0,3.553564072E0,2.900000000E1
1.034103629E2,1.231299587E1,7.664482181E1,7.601081378E2,6.720380859E2,0.000000000E0,0.000000000E0,4.771010363E-1,9.935046196E0,3.309816837E0,2.700000000E1
1.044103685E2,1.231299804E1,7.664482134E1,7.607436267E2,6.726735840E2,0.000000000E0,0.000000000E0,4.773623647E-1,9.935046196E0,3.152531862E0,2.800000000E1
1.054150896E2,1.231300039E1,7.664482131E1,7.611408337E2,6.730708008E2,0.000000000E0,0.000000000E0,4.775005912E-1,9.935046196E0,3.066369772E0,2.800000000E1
1.064135826E2,1.231299995E1,7.664482250E1,7.612561922E2,6.731861572E2,0.000000000E0,0.000000000E0,4.777218244E-1,9.935046196E0,3.157058716E0,2.800000000E1
1.074146275E2,1.231300049E1,7.664482054E1,7.612072394E2,6.731372070E2,0.000000000E0,0.000000000E0,4.780863061E-1,9.935046196E0,3.110384703E0,2.600000000E1
1.084046454E2,1.231300080E1,7.664481720E1,7.613228382E2,6.732528076E2,0.000000000E0,0.000000000E0,4.783776335E-1,9.935046196E0,3.167443514E0,2.500000000E1
1.094151668E2,1.231300126E1,7.664481456E1,7.613107509E2,6.732407227E2,0.000000000E0,0.000000000E0,4.786203252E-1,9.935046196E0,3.067574978E0,2.700000000E1
1.104093599E2,1.231300113E1,7.664481679E1,7.623809422E2,6.743109131E2,0.000000000E0,0.000000000E0,4.789506120E-1,9.935046196E0,3.066866398E0,2.600000000E1
1.114087928E2,1.231300117E1,7.664481983E1,7.629074318E2,6.748374023E2,0.000000000E0,0.000000000E0,4.790134573E-1,9.935046196E0,3.074539185E0,3.200000000E1
1.124108187E2,1.231300072E1,7.664482018E1,7.631352169E2,6.750651855E2,0.000000000E0,0.000000000E0,4.795472205E-1,9.935046196E0,3.105279207E0,3.100000000E1
1.134141200E2,1.231299592E1,7.664482013E1,7.632017653E2,6.751317139E2,0.000000000E0,0.000000000E0,4.797757621E-1,9.935046196E0,3.294490576E0,3.100000000E1
1.144105723E2,1.231299508E1,7.664482205E1,7.630295279E2,6.749594727E2,0.000000000E0,0.000000000E0,4.799421591E-1,9.935046196E0,3.101935625E0,3.100000000E1
1.154172910E2,1.231299501E1,7.664482358E1,7.633703487E2,6.753002930E2,0.000000000E0,0.000000000E0,4.803021842E-1,9.935046196E0,3.195112705E0,3.100000000E1
1.164021420E2,1.231299304E1,7.664482621E1,7.640876425E2,6.760175781E2,0.000000000E0,0.000000000E0,4.806200354E-1,9.935046196E0,3.150344610E0,3.100000000E1
1.174068710E2,1.231299566E1,7.664482738E1,7.646306005E2,6.765605469E2,0.000000000E0,0.000000000E0,4.808433860E-1,9.935046196E0,3.232285976E0,2.400000000E1
1.184131930E2,1.231299714E1,7.664482877E1,7.649647010E2,6.768946533E2,0.000000000E0,0.000000000E0,4.811745015E-1,9.935046196E0,3.278205633E0,2.600000000E1
1.194120206E2,1.231299785E1,7.664483173E1,7.654360120E2,6.773659668E2,0.000000000E0,0.000000000E0,4.815931591E-1,9.935046196E0,3.231583834E0,2.500000000E1
1.204105872E2,1.231299564E1,7.664483485E1,7.656646594E2,6.775946045E2,0.000000000E0,0.000000000E0,4.816962229E-1,9.935046196E0,3.250427961E0,2.600000000E1
1.214077715E2,1.231299506E1,7.664483559E1,7.656688123E2,6.775987549E2,0.000000000E0,0.000000000E0,4.817096941E-1,9.935046196E0,3.202853918E0,2.600000000E1
1.224106006E2,1.231299496E1,7.664483566E1,7.656508684E2,6.775808105E2,0.000000000E0,0.000000000E0,4.817130300E-1,9.935046196E0,3.310701370E0,2.600000000E1
1.234180931E2,1.231299493E1,7.664483566E1,7.656486713E2,6.775786133E2,0.000000000E0,0.000000000E0,4.817242775E-1,9.935046196E0,3.468971729E0,2.500000000E1
1.244139160E2,1.231299488E1,7.664483575E1,7.656784567E2,6.776083984E2,0.000000000E0,0.000000000E0,4.817328808E-1,9.935046196E0,3.423135996E0,2.300000000E1
1.254108019E2,1.231299494E1,7.664483570E1,7.657050677E2,6.776350098E2,0.000000000E0,0.000000000E0,4.817396404E-1,9.935046196E0,3.540431261E0,2.400000000E1
1.264149804E2,1.231299500E1,7.664483569E1,7.657087296E2,6.776386719E2,0.000000000E0,0.000000000E0,4.818084949E-1,9.935046196E0,3.543236732E0,2.300000000E1
1.274135929E2,1.231299529E1,7.664483513E1,7.658190799E2,6.777490234E2,0.000000000E0,0.000000000E0,4.818520999E-1,9.935046196E0,3.554330111E0,2.400000000E1
1.284107548E2,1.231299563E1,7.664483493E1,7.658633899E2,6.777933350E2,0.000000000E0,0.000000000E0,4.818996386E-1,9.935046196E0,3.510610342E0,2.400000000E1
1.294160903E2,1.231299551E1,7.664483535E1,7.657797723E2,6.777097168E2,0.000000000E0,0.000000000E0,4.819241769E-1,9.935046196E0,3.406176329E0,2.500000000E1
1.304129262E2,1.231299546E1,7.664483557E1,7.658127316E2,6.777426758E2,0.000000000E0,0.000000000E0,4.819320680E-1,9.935046196E0,3.335390568E0,2.500000000E1
1.314088584E2,1.231299542E1,7.664483563E1,7.658161497E2,6.777460938E2,0.000000000E0,0.000000000E0,4.819342408E-1,9.935046196E0,3.381015062E0,2.500000000E1
