"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.025171496E2,1.231841445E1,7.664581948E1,7.625186881E2,6.744710693E2,5.300000191E0,3.582999878E2,4.917270923E-1,1.091968536E1,4.678190708E0,3.000000000E1
1.035146111E2,1.231845753E1,7.664582985E1,7.634256146E2,6.753781738E2,5.050000191E0,0.000000000E0,4.979759251E-1,1.078006363E1,4.614964962E0,3.100000000E1
1.045078443E2,1.231850691E1,7.664585731E1,7.634964579E2,6.754492188E2,5.059999943E0,3.598999939E2,5.030886752E-1,1.044332981E1,4.421995163E0,3.100000000E1
1.055202693E2,1.231855289E1,7.664585723E1,7.633890884E2,6.753420410E2,5.039999962E0,3.595000000E2,5.079029483E-1,1.048970795E1,4.317917347E0,3.000000000E1
1.065209838E2,1.231859470E1,7.664584572E1,7.621503869E2,6.741035156E2,5.130000114E0,3.566000061E2,5.119359212E-1,1.067759705E1,4.136526585E0,2.700000000E1
1.075053954E2,1.231863051E1,7.664583983E1,7.629219652E2,6.748752441E2,5.150000095E0,3.548999939E2,5.168970735E-1,1.056402874E1,4.025106430E0,2.500000000E1
1.085201313E2,1.231867030E1,7.664581917E1,7.621904729E2,6.741439209E2,5.320000172E0,3.532999878E2,5.221855510E-1,1.034392929E1,3.968866110E0,2.500000000E1
1.095221800E2,1.231871739E1,7.664582600E1,7.620490423E2,6.740026855E2,5.510000229E0,3.536000061E2,5.275561490E-1,1.031852341E1,3.850522995E0,2.700000000E1
1.105038191E2,1.231876536E1,7.664582024E1,7.619653453E2,6.739191895E2,5.519999981E0,3.530000000E2,5.320419864E-1,1.040707874E1,3.931144714E0,2.700000000E1
1.115114850E2,1.231880521E1,7.664581381E1,7.621643969E2,6.741184082E2,4.880000114E0,3.510000000E2,5.365532823E-1,1.051664639E1,4.046511173E0,2.600000000E1
1.124998166E2,1.231884578E1,7.664581411E1,7.621278508E2,6.740820312E2,4.599999905E0,3.506000061E2,5.403052873E-1,1.030847740E1,3.877521038E0,2.900000000E1
1.135132757E2,1.231887616E1,7.664579908E1,7.629219113E2,6.748762207E2,4.449999809E0,3.472999878E2,5.465863149E-1,9.945054054E0,3.762118101E0,3.000000000E1
1.145188326E2,1.231893152E1,7.664581057E1,7.625571803E2,6.745117188E2,5.070000172E0,3.492999878E2,5.536274140E-1,9.935046196E0,3.631766796E0,2.900000000E1
1.155186343E2,1.231899437E1,7.664581847E1,7.605856060E2,6.725404053E2,5.219999790E0,3.495000000E2,5.593417676E-1,9.935046196E0,3.738790035E0,2.900000000E1
1.165162832E2,1.231904462E1,7.664580745E1,7.602405461E2,6.721955566E2,5.019999981E0,3.475000000E2,5.650714644E-1,9.935046196E0,3.681385756E0,2.800000000E1
1.175128813E2,1.231909600E1,7.664580345E1,7.598804680E2,6.718356934E2,5.260000229E0,3.467999878E2,5.707361344E-1,9.935046196E0,3.607100487E0,2.900000000E1
1.185143263E2,1.231914694E1,7.664580283E1,7.591981266E2,6.711535645E2,5.469999790E0,3.458999939E2,5.762867568E-1,9.935046196E0,3.662357092E0,2.900000000E1
1.195192384E2,1.231919684E1,7.664580420E1,7.580024842E2,6.699581299E2,5.219999790E0,3.462999878E2,5.813117342E-1,9.935046196E0,3.612302780E0,3.000000000E1
1.205077353E2,1.231923702E1,7.664578303E1,7.585810487E2,6.705368652E2,4.849999905E0,3.453999939E2,5.867944700E-1,9.935046196E0,3.490589142E0,3.000000000E1
1.215186321E2,1.231928533E1,7.664577293E1,7.585735215E2,6.705295410E2,5.050000191E0,3.447000122E2,5.929763201E-1,9.935046196E0,3.329264164E0,3.100000000E1
1.225213396E2,1.231933555E1,7.664574852E1,7.580537771E2,6.700100098E2,5.190000057E0,3.426000061E2,5.981151944E-1,9.935046196E0,3.562479496E0,3.000000000E1
1.235147737E2,1.231937840E1,7.664573080E1,7.584838936E2,6.704403076E2,5.150000095E0,3.422000122E2,6.031279075E-1,9.935046196E0,3.784528017E0,3.000000000E1
1.245186349E2,1.231941966E1,7.664571221E1,7.584660185E2,6.704226074E2,5.079999924E0,3.406000061E2,6.078714722E-1,9.935046196E0,3.824625492E0,3.100000000E1
1.255177351E2,1.231946196E1,7.664570655E1,7.590717983E2,6.710285645E2,4.989999771E0,3.401000061E2,6.141979101E-1,9.935046196E0,3.978712082E0,3.100000000E1
1.265130842E2,1.231951621E1,7.664568900E1,7.579502316E2,6.699072266E2,5.409999847E0,3.392999878E2,6.197162692E-1,9.935046196E0,4.048748016E0,3.100000000E1
1.275065887E2,1.231956220E1,7.664566991E1,7.584386843E2,6.703958740E2,5.400000095E0,3.385000000E2,6.250704239E-1,9.935046196E0,4.115979195E0,3.000000000E1
1.285154491E2,1.231960854E1,7.664565652E1,7.581258670E2,6.700832520E2,5.219999790E0,3.380000000E2,6.310588682E-1,9.935046196E0,4.242807865E0,3.000000000E1
1.295142788E2,1.231965606E1,7.664563058E1,7.591888973E2,6.711464844E2,5.360000134E0,3.365000000E2,6.371870896E-1,9.935046196E0,4.346795559E0,2.900000000E1
1.305213277E2,1.231970952E1,7.664561687E1,7.591591313E2,6.711169434E2,5.590000153E0,3.358999939E2,6.442417389E-1,1.022612190E1,4.483068466E0,3.200000000E1
1.315118596E2,1.231976778E1,7.664559116E1,7.590602517E2,6.710183105E2,6.039999962E0,3.345000000E2,6.500127479E-1,1.073101997E1,4.628417015E0,3.100000000E1
1.325096480E2,1.231981324E1,7.664556553E1,7.591652828E2,6.711235352E2,5.829999924E0,3.326000061E2,6.584909972E-1,1.138566017E1,4.679399490E0,3.100000000E1
1.335116192E2,1.231988794E1,7.664554989E1,7.593739533E2,6.713325195E2,6.460000038E0,3.335000000E2,6.621922527E-1,1.174561977E1,4.684359074E0,3.200000000E1
1.345170348E2,1.231991979E1,7.664555979E1,7.598633240E2,6.718220215E2,5.800000191E0,3.346000061E2,6.648527951E-1,1.194733620E1,4.658633232E0,3.300000000E1
1.355156041E2,1.231993740E1,7.664554321E1,7.600661289E2,6.720249023E2,5.090000153E0,3.323999939E2,6.751844005E-1,1.228028202E1,4.637747765E0,3.400000000E1
1.365163165E2,1.232001906E1,7.664549784E1,7.603460549E2,6.723051758E2,5.860000134E0,3.303999939E2,6.809886270E-1,1.101180649E1,4.447689533E0,3.000000000E1
1.375145491E2,1.232006730E1,7.664547743E1,7.594596202E2,6.714189453E2,5.650000095E0,3.297000122E2,6.884543816E-1,1.097336674E1,4.435822010E0,2.900000000E1
1.385170901E2,1.232012095E1,7.664543611E1,7.592032867E2,6.711628418E2,6.030000210E0,3.277999878E2,6.925624585E-1,1.098679924E1,4.388934612E0,3.000000000E1
1.395161501E2,1.232015560E1,7.664542299E1,7.597976227E2,6.717573242E2,5.820000172E0,3.268999939E2,6.984086522E-1,1.099670219E1,4.283890247E0,2.900000000E1
1.405165329E2,1.232020088E1,7.664539564E1,7.595560967E2,6.715159912E2,6.110000134E0,3.257999878E2,7.062407749E-1,1.094619370E1,4.134917736E0,2.700000000E1
1.415130674E2,1.232025497E1,7.664534946E1,7.602367723E2,6.721968994E2,6.250000000E0,3.241000061E2,7.132779573E-1,1.084704494E1,4.080566406E0,2.500000000E1
1.425149306E2,1.232030219E1,7.664530633E1,7.616578335E2,6.736181641E2,6.409999847E0,3.227000122E2,7.205640249E-1,1.090581417E1,4.200436592E0,2.600000000E1
1.435142698E2,1.232034847E1,7.664525885E1,7.624012857E2,6.743618164E2,6.340000153E0,3.207000122E2,7.267883223E-1,1.074830151E1,4.267173290E0,2.700000000E1
1.445152854E2,1.232038924E1,7.664521959E1,7.620593129E2,6.740200195E2,5.530000210E0,3.190000000E2,7.332875556E-1,1.075675011E1,4.308992863E0,2.700000000E1
